Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
A. TOSH & SONS (I) LTD.,TEA,18-01-2022,0,1,2,27885
A. TOSH & SONS (I) LTD.,TEA,09-04-2022,0,1,2,27885
A. TOSH & SONS (I) LTD.,TEA,11-11-2022,0,1,2,27885
A. TOSH & SONS (I) LTD.,TEA,11-06-2022,1,0,1,9822
A. TOSH & SONS (I) LTD.,TEA,17-02-2022,1,0,1,9250
A. TOSH & SONS (I) LTD.,TEA,09-04-2022,1,0,1,10410
A. TOSH & SONS (I) LTD.,TEA,06-07-2022,1,0,1,10130
A. TOSH & SONS (I) LTD.,TEA,24-08-2022,1,0,1,9686
A. TOSH & SONS (I) LTD.,TEA,12-12-2022,1,0,1,10040
A. TOSH & SONS (I) LTD.,TEA,30-01-2022,1,0,1,3696
A. TOSH & SONS (I) LTD.,TEA,27-04-2022,1,0,1,3696
A. TOSH & SONS (I) LTD.,TEA,07-10-2022,1,0,1,10340
TOTAL                                   ,                              ,          ,23,11,45,365822
A.1 ENTERPRISES,COTTON GARMENTS,01-03-2022,0,0,0,6991
A.1 ENTERPRISES,COTTON GARMENTS,17-03-2022,0,1,2,8402
TOTAL                                   ,                              ,          ,0,1,2,15393
A.BLUES CLOTHING,COTTON GARMENTS,06-03-2022,0,0,0,1360
A.BLUES CLOTHING,COTTON GARMENTS,06-06-2022,0,0,0,1796
A.BLUES CLOTHING,COTTON GOODS,10-04-2022,0,0,0,211
A.BLUES CLOTHING,COTTON GOODS,18-12-2022,0,0,0,930
A.BLUES CLOTHING,COTTON GOODS,06-06-2022,0,1,2,6607
TOTAL                                   ,                              ,          ,0,1,2,10904
A.C.N. TEXTILES P. LTD.,COTTON GOODS,30-10-2022,0,1,2,9995
A.C.N. TEXTILES P. LTD.,COTTON GOODS,27-07-2022,0,1,2,10355
A.C.N. TEXTILES P. LTD.,COTTON GOODS,18-12-2022,0,0,0,1993
TOTAL                                   ,                              ,          ,0,2,4,22343
A.F.CASHEW,CASHEW KERNELS,28-03-2022,1,0,1,15000
A.F.CASHEW,CASHEW KERNELS,29-09-2022,1,0,1,15000
A.F.CASHEW,CASHEW KERNELS,29-10-2022,1,0,1,15000
A.F.CASHEW,CASHEW KERNELS,22-08-2022,1,0,1,5875
A.F.CASHEW,CASHEW KERNELS,23-01-2022,1,0,1,15000
A.F.CASHEW,CASHEW KERNELS,29-11-2022,1,0,1,15000
A.F.CASHEW,CASHEW KERNELS,01-02-2022,1,0,1,15000
TOTAL                                   ,                              ,          ,7,0,7,95875
A.F.D.EXPORTS,FOOD STUFFS,30-07-2022,0,1,2,19249
TOTAL                                   ,                              ,          ,0,1,2,19249
A.G.R.APPARELS,COTTON GARMENTS,10-02-2022,0,0,0,2620
A.G.R.APPARELS,COTTON GARMENTS,10-07-2022,0,1,2,5791
A.G.R.APPARELS,COTTON GOODS,20-07-2022,0,0,0,1862
TOTAL                                   ,                              ,          ,0,1,2,10273
A.I. ENTERPRISES,COTTON GARMENTS,10-02-2022,0,0,0,7120
A.I. ENTERPRISES,COTTON GARMENTS,01-03-2022,0,0,0,6240
A.I. ENTERPRISES,COTTON GOODS,10-04-2022,0,5,10,34975
TOTAL                                   ,                              ,          ,0,5,10,48335
A.J.INTERNATIONAL,SOAP,11-10-2022,0,0,0,100
TOTAL                                   ,                              ,          ,0,0,0,100
A.K. AHAMED MODERAN RICE MILL,FOOD STUFFS,23-11-2022,1,0,1,18214
A.K. AHAMED MODERAN RICE MILL,RICE,11-02-2022,1,0,1,24000
A.K. AHAMED MODERAN RICE MILL,RICE,17-03-2022,1,0,1,24550
A.K. AHAMED MODERAN RICE MILL,RICE,11-02-2022,1,0,1,24550
A.K. AHAMED MODERAN RICE MILL,RICE,03-03-2022,2,0,2,48000
A.K. AHAMED MODERAN RICE MILL,RICE,29-11-2022,1,0,1,24000
A.K. AHAMED MODERAN RICE MILL,RICE,09-02-2022,1,0,1,24480
A.K. AHAMED MODERAN RICE MILL,RICE,19-04-2022,2,0,2,48000
A.K. AHAMED MODERAN RICE MILL,RICE,24-06-2022,1,0,1,24000
A.K. AHAMED MODERAN RICE MILL,RICE,24-09-2022,1,0,1,24500
A.K. AHAMED MODERAN RICE MILL,RICE,21-11-2022,1,0,1,24000
A.K. AHAMED MODERAN RICE MILL,RICE,25-10-2022,1,0,1,24000
A.K. AHAMED MODERAN RICE MILL,RICE,30-10-2022,1,0,1,24000
A.K. AHAMED MODERAN RICE MILL,RICE,01-12-2022,2,0,2,48000
A.K. AHAMED MODERAN RICE MILL,RICE,15-12-2022,2,0,2,48000
TOTAL                                   ,                              ,          ,19,0,19,452294
A.K.EXPORTS,COTTON GARMENTS,11-08-2022,0,1,2,11730
A.K.EXPORTS,COTTON GARMENTS,09-04-2022,1,0,1,4349
A.K.EXPORTS,COTTON GARMENTS,11-10-2022,1,0,1,4108
A.K.EXPORTS,COTTON GARMENTS,27-09-2022,1,0,1,4000
A.K.EXPORTS,COTTON GOODS,18-07-2022,1,0,1,4065
A.K.EXPORTS,COTTON GOODS,23-11-2022,1,0,1,3954
A.K.EXPORTS,COTTON GOODS,25-10-2022,1,0,1,3409
TOTAL                                   ,                              ,          ,6,1,8,35615
A.K.IMPEX,FOOD STUFFS,27-03-2022,0,1,2,22045
A.K.IMPEX,FOOD STUFFS,20-04-2022,0,1,2,26000
A.K.IMPEX,FOOD STUFFS,21-01-2022,1,0,1,26000
TOTAL                                   ,                              ,          ,1,2,5,74045
A.K.KNITS,COTTON GARMENTS,27-05-2022,0,0,0,640
A.K.KNITS,COTTON GARMENTS,02-08-2022,0,1,2,4050
A.K.KNITS,COTTON GARMENTS,04-05-2022,0,0,0,1191
A.K.KNITS,COTTON GOODS,05-07-2022,0,0,0,834
A.K.KNITS,COTTON GOODS,07-09-2022,0,0,0,745
TOTAL                                   ,                              ,          ,0,1,2,7460
A.K.R. TEXTILES,COTTON GARMENTS,27-11-2022,0,0,0,2841
TOTAL                                   ,                              ,          ,0,0,0,2841
A.K.R.INDUSTRIES P.LTD.,COTTON GARMENTS,10-02-2022,0,2,4,8030
A.K.R.INDUSTRIES P.LTD.,COTTON GARMENTS,30-10-2022,1,0,1,2850
A.K.R.INDUSTRIES P.LTD.,COTTON GARMENTS,06-11-2022,0,0,0,1058
A.K.R.INDUSTRIES P.LTD.,COTTON GARMENTS,26-01-2022,0,2,4,21839
A.K.R.INDUSTRIES P.LTD.,COTTON GARMENTS,01-03-2022,0,0,0,11921
A.K.R.INDUSTRIES P.LTD.,COTTON GARMENTS,06-03-2022,0,0,0,660
A.K.R.INDUSTRIES P.LTD.,COTTON GARMENTS,23-05-2022,1,0,1,2381
A.K.R.INDUSTRIES P.LTD.,COTTON GARMENTS,17-06-2022,0,2,4,5490
A.K.R.INDUSTRIES P.LTD.,COTTON GARMENTS,04-09-2022,0,0,0,3012
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,28-04-2022,0,1,2,7200
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,17-10-2022,0,1,2,7200
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,13-11-2022,0,0,0,1546
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,18-12-2022,0,0,0,178
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,26-01-2022,0,1,2,9168
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,09-02-2022,0,1,2,7968
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,22-06-2022,0,0,0,2952
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,14-08-2022,0,0,0,1094
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,11-09-2022,1,0,1,3012
A.K.R.INDUSTRIES P.LTD.,COTTON GOODS,13-11-2022,0,0,0,735
TOTAL                                   ,                              ,          ,3,10,23,98294
A.K.S.EXIM INDIA,ARECANUT,17-12-2022,0,0,0,2526
A.K.S.EXIM INDIA,GALANGAL ROOTS,08-03-2022,0,1,2,13057
TOTAL                                   ,                              ,          ,0,1,2,15583
A.K.TRADE LINKS,COIR MATS,11-02-2022,1,0,1,9326
A.K.TRADE LINKS,COIR MATS,10-05-2022,1,0,1,7764
A.K.TRADE LINKS,COIR MATS,12-07-2022,1,0,1,12908
TOTAL                                   ,                              ,          ,3,0,3,29998
A.M.FISHERIES,FROZEN CUTTLEFISH,06-04-2022,0,1,2,20000
A.M.FISHERIES,FROZEN CUTTLEFISH,29-01-2022,0,1,2,27000
A.M.FISHERIES,FROZEN MACKERAL,18-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MACKERAL,22-10-2022,0,2,4,56700
A.M.FISHERIES,FROZEN MACKERAL,24-08-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,06-06-2022,0,1,2,20000
A.M.FISHERIES,FROZEN MARINE FOODS,17-06-2022,0,1,2,20900
A.M.FISHERIES,FROZEN MARINE FOODS,08-04-2022,0,1,2,20108
A.M.FISHERIES,FROZEN MARINE FOODS,03-07-2022,0,1,2,22000
A.M.FISHERIES,FROZEN MARINE FOODS,30-08-2022,0,1,2,21000
A.M.FISHERIES,FROZEN MARINE FOODS,13-11-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,24-09-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,29-09-2022,0,2,4,52000
A.M.FISHERIES,FROZEN MARINE FOODS,01-10-2022,0,2,4,53300
A.M.FISHERIES,FROZEN MARINE FOODS,05-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,09-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,16-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,21-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,04-11-2022,0,1,2,27300
A.M.FISHERIES,FROZEN MARINE FOODS,16-10-2022,0,3,6,78000
A.M.FISHERIES,FROZEN MARINE FOODS,06-09-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,11-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,01-11-2022,0,1,2,27300
A.M.FISHERIES,FROZEN MARINE FOODS,28-03-2022,0,1,2,27000
A.M.FISHERIES,FROZEN MARINE FOODS,03-04-2022,0,1,2,27768
A.M.FISHERIES,FROZEN MARINE FOODS,02-05-2022,0,1,2,27000
A.M.FISHERIES,FROZEN MARINE FOODS,11-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,13-11-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,23-11-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,09-03-2022,0,1,2,20064
A.M.FISHERIES,FROZEN MARINE FOODS,09-04-2022,0,1,2,28774
A.M.FISHERIES,FROZEN MARINE FOODS,03-12-2022,0,1,2,22000
A.M.FISHERIES,FROZEN MARINE FOODS,30-08-2022,0,1,2,23000
A.M.FISHERIES,FROZEN MARINE FOODS,02-01-2022,0,1,2,23650
A.M.FISHERIES,FROZEN MARINE FOODS,30-10-2022,0,1,2,28000
A.M.FISHERIES,FROZEN MARINE FOODS,21-10-2022,0,1,2,28000
A.M.FISHERIES,FROZEN MARINE FOODS,30-01-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,21-10-2022,0,1,2,26300
A.M.FISHERIES,FROZEN MARINE FOODS,22-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,08-11-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,11-12-2022,0,2,4,54600
A.M.FISHERIES,FROZEN MARINE FOODS,17-09-2022,0,3,6,78000
A.M.FISHERIES,FROZEN MARINE FOODS,24-09-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,29-09-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,09-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,16-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,20-11-2022,0,1,2,26000
