Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
JAAS EXPORTS,COCONUTS,16-08-2022,0,1,2,28800
JAAS EXPORTS,COCONUTS,27-12-2022,0,1,2,28500
JAAS EXPORTS,COCONUTS,29-06-2022,0,1,2,28600
JAAS EXPORTS,COCONUTS,27-09-2022,0,1,2,28000
JAAS EXPORTS,COCONUTS,15-11-2022,0,1,2,24000
TOTAL                                   ,                              ,          ,0,5,10,137900
JACKDOW P. LTD.,JUTE MATTING,12-11-2022,0,0,0,1274
JACKDOW P. LTD.,RUBBER MATS,15-05-2022,0,0,0,1274
JACKDOW P. LTD.,RUBBER MATS,10-01-2022,0,0,0,1274
JACKDOW P. LTD.,RUBBER MATS,16-04-2022,1,0,1,15000
TOTAL                                   ,                              ,          ,1,0,1,18822
JACOB & RICHARD INTERNATIONAL P. LTD.,BANANA CHIPS,23-10-2022,0,1,2,20900
JACOB & RICHARD INTERNATIONAL P. LTD.,CHILLIES,22-05-2022,1,0,1,8350
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,08-03-2022,1,0,1,9750
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,20-06-2022,1,0,1,8740
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,02-08-2022,0,1,2,18800
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,07-02-2022,0,1,2,20963
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,02-05-2022,1,0,1,8950
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,16-04-2022,0,1,2,21637
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,10-04-2022,0,1,2,27500
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,05-05-2022,0,1,2,21300
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,22-06-2022,0,1,2,24000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,13-11-2022,0,1,2,25000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,25-12-2022,0,1,2,26000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,22-01-2022,0,1,2,27000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,20-02-2022,0,1,2,24000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,25-09-2022,0,1,2,24000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,20-11-2022,0,1,2,24000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,30-08-2022,0,1,2,24000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,24-02-2022,1,0,1,15700
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,05-09-2022,0,1,2,23000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,20-02-2022,0,1,2,24000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,06-03-2022,0,0,0,3498
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,06-06-2022,0,1,2,23686
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,14-08-2022,0,1,2,23400
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,11-12-2022,0,1,2,25400
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,18-12-2022,0,1,2,24000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,12-01-2022,0,1,2,26250
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,17-03-2022,0,1,2,23475
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,30-10-2022,0,1,2,24000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,06-11-2022,0,1,2,24000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,20-07-2022,0,1,2,20200
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,07-02-2022,0,1,2,24300
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,20-04-2022,0,1,2,21000
JACOB & RICHARD INTERNATIONAL P. LTD.,FOOD STUFFS,30-10-2022,0,1,2,20000
JACOB & RICHARD INTERNATIONAL P. LTD.,TAPIOCA,20-11-2022,1,0,1,9540
TOTAL                                   ,                              ,          ,6,28,62,720339
JACOBI CARBONS INDIA P.LTD.,ACTIVATED CARBON,20-05-2022,0,1,2,22451
JACOBI CARBONS INDIA P.LTD.,ACTIVATED CARBON,27-02-2022,0,3,6,67353
JACOBI CARBONS INDIA P.LTD.,ACTIVATED CARBON,19-03-2022,0,2,4,44902
TOTAL                                   ,                              ,          ,0,6,12,134706
JADLI FOODS (INDIA) P. LTD.,MANGO PULP,07-09-2022,2,0,2,38000
TOTAL                                   ,                              ,          ,2,0,2,38000
JAI BALAJI BHANDAR,COTTON GARMENTS,30-01-2022,0,1,2,5423
TOTAL                                   ,                              ,          ,0,1,2,5423
JAI BALAJI TEXTILES,COTTON GOODS,18-12-2022,0,1,2,16200
TOTAL                                   ,                              ,          ,0,1,2,16200
JAI KNIT CREATION,COTTON GARMENTS,20-11-2022,0,0,0,656
JAI KNIT CREATION,COTTON GARMENTS,20-05-2022,0,0,0,3835
JAI KNIT CREATION,COTTON GARMENTS,23-05-2022,0,0,0,2135
JAI KNIT CREATION,COTTON GARMENTS,17-06-2022,0,0,0,3622
JAI KNIT CREATION,COTTON GARMENTS,30-06-2022,0,0,0,1698
JAI KNIT CREATION,COTTON GARMENTS,10-07-2022,0,0,0,2715
JAI KNIT CREATION,COTTON GARMENTS,24-08-2022,0,0,0,833
JAI KNIT CREATION,COTTON GARMENTS,11-09-2022,0,0,0,489
JAI KNIT CREATION,COTTON GARMENTS,17-10-2022,0,0,0,5768
JAI KNIT CREATION,COTTON GARMENTS,23-10-2022,0,0,0,4050
JAI KNIT CREATION,COTTON GARMENTS,18-12-2022,0,0,0,2487
JAI KNIT CREATION,COTTON GARMENTS,04-09-2022,0,1,2,6586
JAI KNIT CREATION,COTTON GARMENTS,20-11-2022,1,1,3,16657
JAI KNIT CREATION,COTTON GARMENTS,10-02-2022,0,0,0,1500
JAI KNIT CREATION,COTTON GARMENTS,17-10-2022,0,1,2,13417
JAI KNIT CREATION,COTTON GOODS,20-02-2022,0,0,0,1229
JAI KNIT CREATION,COTTON GOODS,30-08-2022,0,0,0,2936
JAI KNIT CREATION,COTTON GOODS,18-12-2022,0,1,2,6133
JAI KNIT CREATION,COTTON GOODS,20-11-2022,0,2,4,17599
TOTAL                                   ,                              ,          ,1,6,13,94345
JAI MARIUTHI TEXTILES,COTTON GOODS,21-12-2022,1,0,1,4655
TOTAL                                   ,                              ,          ,1,0,1,4655
JAKMANS CLOTHING LLP,COTTON GOODS,09-02-2022,0,1,2,11930
JAKMANS CLOTHING LLP,EMPTY JARS,03-03-2022,0,1,2,9358
TOTAL                                   ,                              ,          ,0,2,4,21288
JANATHA AQUA PRODUCTS P.LTD.,FISH MEAL,08-11-2022,10,0,10,200480
JANATHA AQUA PRODUCTS P.LTD.,FISH MEAL,12-04-2022,6,0,6,119720
JANATHA AQUA PRODUCTS P.LTD.,FISH OIL,05-11-2022,1,0,1,3123
TOTAL                                   ,                              ,          ,17,0,17,323323
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,17-09-2022,15,0,15,300000
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,24-09-2022,15,0,15,300000
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,15-11-2022,5,0,5,100000
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,23-12-2022,15,0,15,300480
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,21-12-2022,5,0,5,100240
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,25-08-2022,10,0,10,200000
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,01-10-2022,10,0,10,200480
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,05-10-2022,5,0,5,100000
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,22-10-2022,10,0,10,203645
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,13-11-2022,4,0,4,88000
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,26-11-2022,10,0,10,200480
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,12-04-2022,1,0,1,12220
JANATHA FISH MEAL & OIL PRODUCTS,FISH MEAL,16-10-2022,5,0,5,101250
JANATHA FISH MEAL & OIL PRODUCTS,FISH OIL,16-10-2022,10,0,10,200000
TOTAL                                   ,                              ,          ,120,0,120,2406795
JANATHA MACHINES,CHOCOLATE FOUNTAIN,25-09-2022,0,1,2,24000
JANATHA MACHINES,CHOCOLATE FOUNTAIN,02-02-2022,1,0,1,3438
JANATHA MACHINES,CHOCOLATE FOUNTAIN,16-04-2022,0,1,2,21520
JANATHA MACHINES,CHOCOLATE FOUNTAIN,02-07-2022,0,1,2,16275
JANATHA MACHINES,CHOCOLATE FOUNTAIN,25-12-2022,0,1,2,16995
TOTAL                                   ,                              ,          ,1,4,9,82228
JANATHA POLYMERS,PLASTIC PRODUCTS,23-02-2022,1,0,1,24237
JANATHA POLYMERS,PLASTIC PRODUCTS,23-11-2022,1,0,1,24000
TOTAL                                   ,                              ,          ,2,0,2,48237
JANATICS INDIA P.L.TD.,VALVES,07-03-2022,0,0,0,2486
JANATICS INDIA P.L.TD.,VALVES,03-09-2022,0,0,0,678
JANATICS INDIA P.L.TD.,VALVES,27-09-2022,0,0,0,802
JANATICS INDIA P.L.TD.,VALVES,15-11-2022,1,0,1,5443
JANATICS INDIA P.L.TD.,VALVES,25-10-2022,1,0,1,8666
JANATICS INDIA P.L.TD.,VALVES,21-12-2022,0,0,0,683
TOTAL                                   ,                              ,          ,2,0,2,18758
JANDIA ENGINEERING P.LTD.,AUTOMOBILES PARTS,06-11-2022,0,1,2,6166
JANDIA ENGINEERING P.LTD.,DRILLING MACHINE,11-12-2022,0,1,2,6043
JANDIA ENGINEERING P.LTD.,MACHINERIES,11-09-2022,1,0,1,4420
JANDIA ENGINEERING P.LTD.,SPARES,16-04-2022,0,1,2,5978
JANDIA ENGINEERING P.LTD.,SPARES,23-05-2022,0,0,0,3803
JANDIA ENGINEERING P.LTD.,SPARES,03-07-2022,0,1,2,7355
JANDIA ENGINEERING P.LTD.,SPARES,10-10-2022,0,1,2,6295
JANDIA ENGINEERING P.LTD.,VALVES,07-08-2022,1,0,1,6834
TOTAL                                   ,                              ,          ,2,5,12,46894
"JANG M,ARINE EXIM",HYDRAULIC FITTINGS,30-08-2022,1,0,1,3630
TOTAL                                   ,                              ,          ,1,0,1,3630
JANNI HOLDING P LTD,BUILDING MATERIALS,08-03-2022,1,0,1,14780
TOTAL                                   ,                              ,          ,1,0,1,14780
JANSONS BALERS,RUBBER MATS,22-05-2022,0,1,2,24030
JANSONS BALERS,RUBBER MATS,11-06-2022,0,1,2,24030
JANSONS BALERS,RUBBER MATS,10-06-2022,0,1,2,25756
JANSONS BALERS,RUBBER MATS,24-08-2022,0,1,2,24575
JANSONS BALERS,RUBBER MATS,23-03-2022,1,0,1,15107
JANSONS BALERS,RUBBER MATS,30-12-2022,1,0,1,14981
JANSONS BALERS,RUBBER MATS,10-03-2022,1,0,1,12335
JANSONS BALERS,RUBBER MATS,16-11-2022,1,0,1,13153
JANSONS BALERS,RUBBER MATS,15-06-2022,1,0,1,16409
JANSONS BALERS,RUBBER MATS,05-07-2022,1,0,1,17120
JANSONS BALERS,RUBBER MATS,03-09-2022,1,0,1,17018
JANSONS BALERS,RUBBER MATS,17-04-2022,1,0,1,16306
JANSONS BALERS,RUBBER MATS,16-02-2022,1,0,1,15073
JANSONS BALERS,RUBBER MATS,19-03-2022,1,0,1,15375
JANSONS BALERS,RUBBER MATS,26-04-2022,1,0,1,15526
JANSONS BALERS,RUBBER MATS,22-05-2022,1,0,1,16831
JANSONS BALERS,RUBBER MATS,16-10-2022,1,0,1,15700
JANSONS BALERS,RUBBER MATS,22-01-2022,0,1,2,18360
JANSONS BALERS,RUBBER MATS,16-11-2022,0,1,2,24193
JANSONS BALERS,RUBBER MATS,24-09-2022,1,0,1,16581
JANSONS BALERS,RUBBER MATS,08-06-2022,1,0,1,18104
JANSONS BALERS,RUBBER MATS,19-07-2022,1,0,1,17133
JANSONS BALERS,RUBBER MATS,07-08-2022,1,0,1,17170
JANSONS BALERS,RUBBER MATS,06-04-2022,1,0,1,16732
JANSONS BALERS,RUBBER MATS,07-02-2022,0,1,2,16413
JANSONS BALERS,RUBBER MATS,22-01-2022,1,0,1,15000
JANSONS BALERS,RUBBER MATS,06-06-2022,1,0,1,14606
JANSONS BALERS,RUBBER MATS,26-06-2022,1,0,1,16468
JANSONS BALERS,RUBBER MATS,13-07-2022,1,0,1,15000
JANSONS BALERS,RUBBER MATS,12-09-2022,1,0,1,16379
JANSONS BALERS,RUBBER MATS,21-09-2022,1,0,1,16118
JANSONS BALERS,RUBBER MATS,30-10-2022,1,0,1,16003
JANSONS BALERS,RUBBER MATS,30-12-2022,1,0,1,16800
JANSONS BALERS,RUBBER MATS,19-04-2022,1,0,1,16801
JANSONS BALERS,RUBBER MATS,30-05-2022,0,1,2,17858
JANSONS BALERS,RUBBER MATS,27-02-2022,1,0,1,16811
JANSONS BALERS,RUBBER MATS,08-03-2022,1,0,1,16437
JANSONS BALERS,RUBBER MATS,28-03-2022,1,0,1,16260
JANSONS BALERS,RUBBER MATS,22-08-2022,1,0,1,17373
JANSONS BALERS,RUBBER MATS,01-10-2022,1,0,1,15751
JANSONS BALERS,RUBBER MATS,11-01-2022,1,0,1,17460
JANSONS BALERS,RUBBER MATS,12-05-2022,1,0,1,17233
JANSONS BALERS,RUBBER MATS,23-01-2022,2,0,2,34955
JANSONS BALERS,RUBBER MATS,25-07-2022,0,1,2,17152
JANSONS BALERS,RUBBER MATS,14-04-2022,0,1,2,18654
JANSONS BALERS,RUBBER MATS,03-05-2022,0,1,2,18408
JANSONS BALERS,RUBBER MATS,22-10-2022,1,0,1,18513
JANSONS BALERS,RUBBER MATS,10-01-2022,0,1,2,18671
JANSONS BALERS,RUBBER MATS,28-08-2022,0,1,2,18000
JANSONS BALERS,RUBBER MATS,19-07-2022,0,1,2,18297
JANSONS BALERS,RUBBER MATS,22-10-2022,0,1,2,18415
JANSONS BALERS,RUBBER MATS,19-11-2022,0,1,2,20240
JANSONS BALERS,RUBBER MATS,18-06-2022,1,0,1,14692
JANSONS BALERS,RUBBER MATS,16-02-2022,0,1,2,8343
JANSONS BALERS,RUBBER MATS,11-12-2022,0,1,2,18686
JANSONS BALERS,RUBBER MATS,17-03-2022,1,0,1,16709
JANSONS BALERS,RUBBER MATS,04-06-2022,1,0,1,16875
JANSONS BALERS,RUBBER MATS,11-07-2022,0,1,2,15802
JANSONS BALERS,RUBBER MATS,09-08-2022,0,1,2,15488
JANSONS BALERS,RUBBER MATS,20-09-2022,0,1,2,15660
JANSONS BALERS,RUBBER MATS,30-08-2022,1,0,1,5440
JANSONS BALERS,RUBBER MATS,01-10-2022,0,1,2,4087
JANSONS BALERS,RUBBER MATS,16-01-2022,1,0,1,15451
JANSONS BALERS,RUBBER MATS,09-02-2022,1,0,1,13934
JANSONS BALERS,RUBBER MATS,12-09-2022,1,0,1,13459
JANSONS BALERS,RUBBER MATS,09-10-2022,1,0,1,15497
JANSONS BALERS,RUBBER MATS,24-10-2022,1,0,1,15000
JANSONS BALERS,RUBBER MATS,02-11-2022,1,0,1,14960
JANSONS BALERS,RUBBER MATS,30-11-2022,1,0,1,14937
JANSONS BALERS,RUBBER MATS,15-05-2022,0,1,2,28475
JANSONS BALERS,RUBBER MATS,26-06-2022,1,0,1,15012
TOTAL                                   ,                              ,          ,49,23,95,1202181
JANSONS INDUSTRIES,COTTON GARMENTS,09-04-2022,1,0,1,5998
JANSONS INDUSTRIES,COTTON GARMENTS,30-05-2022,1,0,1,8079
JANSONS INDUSTRIES,COTTON GARMENTS,07-03-2022,1,0,1,8226
JANSONS INDUSTRIES,COTTON GARMENTS,09-04-2022,1,0,1,7196
JANSONS INDUSTRIES,COTTON GARMENTS,25-10-2022,1,0,1,6351
JANSONS INDUSTRIES,COTTON GOODS,31-03-2022,0,0,0,1871
JANSONS INDUSTRIES,COTTON GOODS,09-04-2022,1,0,1,2954
JANSONS INDUSTRIES,COTTON GOODS,02-08-2022,0,0,0,1963
JANSONS INDUSTRIES,COTTON GOODS,21-01-2022,1,0,1,8193
JANSONS INDUSTRIES,COTTON GOODS,01-02-2022,1,0,1,9922
JANSONS INDUSTRIES,COTTON GOODS,11-02-2022,1,0,1,7111
JANSONS INDUSTRIES,COTTON GOODS,15-02-2022,2,0,2,19824
JANSONS INDUSTRIES,COTTON GOODS,07-03-2022,1,0,1,7196
JANSONS INDUSTRIES,COTTON GOODS,27-03-2022,1,0,1,10581
JANSONS INDUSTRIES,COTTON GOODS,07-09-2022,1,0,1,2697
JANSONS INDUSTRIES,COTTON GOODS,13-09-2022,1,0,1,9611
JANSONS INDUSTRIES,COTTON GOODS,09-04-2022,1,0,1,8166
JANSONS INDUSTRIES,COTTON GOODS,30-05-2022,1,0,1,10019
JANSONS INDUSTRIES,COTTON GOODS,30-08-2022,1,0,1,5406
JANSONS INDUSTRIES,COTTON GOODS,27-03-2022,1,0,1,9768
JANSONS INDUSTRIES,COTTON GOODS,14-04-2022,1,0,1,5928
JANSONS INDUSTRIES,COTTON GOODS,30-05-2022,1,0,1,6872
JANSONS INDUSTRIES,COTTON GOODS,27-03-2022,1,0,1,6223
JANSONS INDUSTRIES,COTTON GOODS,03-09-2022,1,0,1,8384
JANSONS INDUSTRIES,COTTON GOODS,03-04-2022,1,0,1,9440
JANSONS INDUSTRIES,COTTON GOODS,02-08-2022,2,0,2,17364
JANSONS INDUSTRIES,COTTON GOODS,23-11-2022,1,0,1,5029
JANSONS INDUSTRIES,COTTON GOODS,27-12-2022,1,0,1,6954
JANSONS INDUSTRIES,COTTON GOODS,16-01-2022,1,0,1,10056
JANSONS INDUSTRIES,COTTON GOODS,09-02-2022,1,0,1,8970
JANSONS INDUSTRIES,COTTON GOODS,14-04-2022,1,0,1,9152
JANSONS INDUSTRIES,COTTON GOODS,23-11-2022,1,0,1,8410
JANSONS INDUSTRIES,COTTON GOODS,24-06-2022,2,0,2,13685
JANSONS INDUSTRIES,COTTON GOODS,11-10-2022,1,0,1,9240
JANSONS INDUSTRIES,COTTON GOODS,27-03-2022,1,0,1,5975
JANSONS INDUSTRIES,COTTON GOODS,30-05-2022,1,0,1,7333
JANSONS INDUSTRIES,COTTON GOODS,14-06-2022,1,0,1,6505
JANSONS INDUSTRIES,COTTON GOODS,04-10-2022,1,0,1,4935
JANSONS INDUSTRIES,COTTON GOODS,29-11-2022,1,0,1,6841
JANSONS INDUSTRIES,COTTON GOODS,11-03-2022,1,0,1,8762
TOTAL                                   ,                              ,          ,41,0,41,317190
JAS & COMPANY,FOOD STUFFS,28-03-2022,2,0,2,14132
TOTAL                                   ,                              ,          ,2,0,2,14132
JAS EXPORTS,COCONUTS,09-04-2022,0,1,2,28000
TOTAL                                   ,                              ,          ,0,1,2,28000
JAY JAY MILLS(INDIA)P.LTD.,COTTON GOODS,11-03-2022,0,1,2,11999
TOTAL                                   ,                              ,          ,0,1,2,11999
JAY TEX APPARELS,COTTON GARMENTS,03-04-2022,0,0,0,475
JAY TEX APPARELS,COTTON GARMENTS,03-09-2022,0,0,0,1952
JAY TEX APPARELS,COTTON GARMENTS,27-09-2022,0,0,0,2664
JAY TEX APPARELS,COTTON GARMENTS,17-03-2022,0,1,2,7200
JAY TEX APPARELS,COTTON GOODS,07-09-2022,0,1,2,4552
JAY TEX APPARELS,COTTON GOODS,25-10-2022,0,0,0,2027
TOTAL                                   ,                              ,          ,0,2,4,18870
JAY-U TEX,COTTON GARMENTS,20-05-2022,0,0,0,1808
JAY-U TEX,COTTON GARMENTS,23-05-2022,0,0,0,1865
TOTAL                                   ,                              ,          ,0,0,0,3673
JAYA VEL IMPEX,COTTON GOODS,28-04-2022,0,1,2,1917
TOTAL                                   ,                              ,          ,0,1,2,1917
JAYABHARATH MODERN RICE MILL,RICE,11-10-2022,1,0,1,25100
JAYABHARATH MODERN RICE MILL,RICE,08-08-2022,1,0,1,25100
JAYABHARATH MODERN RICE MILL,RICE,17-08-2022,2,0,2,51400
JAYABHARATH MODERN RICE MILL,RICE,05-07-2022,1,0,1,25000
JAYABHARATH MODERN RICE MILL,RICE,23-01-2022,1,0,1,26000
JAYABHARATH MODERN RICE MILL,RICE,03-04-2022,1,0,1,25000
JAYABHARATH MODERN RICE MILL,RICE,19-04-2022,1,0,1,25000
JAYABHARATH MODERN RICE MILL,RICE,20-04-2022,1,0,1,25180
JAYABHARATH MODERN RICE MILL,RICE,02-05-2022,1,0,1,26000
JAYABHARATH MODERN RICE MILL,RICE,04-05-2022,1,0,1,25000
JAYABHARATH MODERN RICE MILL,RICE,27-05-2022,1,0,1,25000
JAYABHARATH MODERN RICE MILL,RICE,31-05-2022,1,0,1,25000
JAYABHARATH MODERN RICE MILL,RICE,08-06-2022,2,0,2,52430
JAYABHARATH MODERN RICE MILL,RICE,26-07-2022,1,0,1,26000
JAYABHARATH MODERN RICE MILL,RICE,02-08-2022,2,0,2,51000
JAYABHARATH MODERN RICE MILL,RICE,22-02-2022,1,0,1,24000
JAYABHARATH MODERN RICE MILL,RICE,25-02-2022,1,0,1,24000
JAYABHARATH MODERN RICE MILL,RICE,22-08-2022,1,0,1,25500
JAYABHARATH MODERN RICE MILL,RICE,08-11-2022,1,0,1,25700
JAYABHARATH MODERN RICE MILL,RICE,21-11-2022,2,0,2,52000
JAYABHARATH MODERN RICE MILL,RICE,05-12-2022,1,0,1,26000
JAYABHARATH MODERN RICE MILL,RICE,15-12-2022,2,0,2,52000
JAYABHARATH MODERN RICE MILL,RICE,19-12-2022,2,0,2,52000
JAYABHARATH MODERN RICE MILL,RICE,26-12-2022,1,0,1,25700
JAYABHARATH MODERN RICE MILL,RICE,05-09-2022,2,0,2,50000
JAYABHARATH MODERN RICE MILL,RICE,19-10-2022,2,0,2,51000
JAYABHARATH MODERN RICE MILL,RICE,15-11-2022,1,0,1,26000
JAYABHARATH MODERN RICE MILL,RICE,05-12-2022,1,0,1,24000
JAYABHARATH MODERN RICE MILL,RICE,30-08-2022,1,0,1,25000
JAYABHARATH MODERN RICE MILL,RICE,03-09-2022,1,0,1,24000
JAYABHARATH MODERN RICE MILL,RICE,01-11-2022,2,0,2,48000
JAYABHARATH MODERN RICE MILL,RICE,11-10-2022,1,0,1,25700
JAYABHARATH MODERN RICE MILL,RICE,05-12-2022,1,0,1,26000
TOTAL                                   ,                              ,          ,42,0,42,1064810
JAYABHARATHI EXPORTS,COTTON GARMENTS,11-12-2022,0,0,0,73
TOTAL                                   ,                              ,          ,0,0,0,73
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,03-03-2022,3,0,3,71467
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,08-03-2022,4,0,4,95804
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,11-03-2022,4,0,4,95512
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,17-03-2022,4,0,4,95896
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,02-01-2022,4,0,4,98712
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,11-01-2022,4,0,4,92000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,15-01-2022,8,0,8,192072
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,22-01-2022,8,0,8,192000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,30-01-2022,4,0,4,96000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,09-02-2022,5,0,5,96060
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,12-02-2022,4,0,4,96272
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,25-02-2022,4,0,4,95640
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,27-02-2022,4,0,4,96308
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,09-03-2022,4,0,4,92000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,21-03-2022,8,0,8,191612
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,23-03-2022,4,0,4,95596
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,28-03-2022,4,0,4,95516
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,29-03-2022,4,0,4,96000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,03-04-2022,4,0,4,96628
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,06-04-2022,4,0,4,96220
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,14-04-2022,4,0,4,96000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,29-04-2022,8,0,8,192000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,03-05-2022,4,0,4,95544
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,04-05-2022,4,0,4,96000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,12-05-2022,4,0,4,96000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,15-05-2022,4,0,4,96000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,18-05-2022,8,0,8,191712
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,30-05-2022,7,0,7,169419
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,11-06-2022,4,0,4,95000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,15-06-2022,3,0,3,72000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,20-06-2022,2,0,2,48000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,05-07-2022,4,0,4,92000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,12-07-2022,4,0,4,96000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,13-07-2022,4,0,4,96000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,27-07-2022,4,0,4,96000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,03-08-2022,4,0,4,92000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,14-08-2022,4,0,4,95000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,19-08-2022,4,0,4,95664
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,30-08-2022,4,0,4,92000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,12-09-2022,4,0,4,92000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,28-11-2022,4,0,4,96084
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,04-12-2022,4,0,4,96838
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,11-12-2022,4,0,4,96272
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,28-12-2022,4,0,4,96824
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,31-12-2022,8,0,8,188000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,21-06-2022,4,0,4,95000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,24-06-2022,5,0,5,120000
JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,23-12-2022,4,0,4,96978
