,Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
18695,EASTERN CONDIMENTS P.LTD.,FOOD STUFFS,2022-04-20,1,0,1,15009
18696,EASTERN CONDIMENTS P.LTD.,CURRY POWDER,2022-04-20,1,0,1,8124
18697,SAINEL CASHEW TRADERS,CASHEW KERNELS,2022-04-20,1,0,1,15000
18698,PARISONS ROLLER FLOUR MILLS (P) LTD.,MAIDA,2022-04-20,4,0,4,88000
18699,PERFECT EXPORTERS,CHAPPALS,2022-04-20,0,1,2,6030
18700,JEZAARA TRADING,VERMICELLI,2022-04-20,0,1,2,25500
18701,FASHION CLOTHING,COTTON GARMENTS,2022-04-20,1,0,1,3200
18702,EXTRA WEAVE,JUTE MATTING,2022-04-20,0,1,2,17281
18703,FASHION CLOTHING,COTTON GARMENTS,2022-04-20,1,0,1,3200
18704,M.P.M.TEXTILES P.LTD.,COTTON GARMENTS,2022-04-20,1,0,1,4194
18705,C.M.C.EXPORTERS,COCONUTS,2022-04-20,0,1,2,26400
18706,PREMIER SEAFOODS EXIM LTD.,FROZEN MARINE FOODS,2022-04-20,0,1,2,24000
18707,M.P.M.TEXTILES P.LTD.,COTTON GARMENTS,2022-04-20,1,0,1,4614
18708,A-1 CHIPS AND EXPORTS(I)P.LTD.,BANANA CHIPS,2022-04-20,1,0,1,3808
18709,ECOM GILL COFFEE TRADING P.LTD.,COFFEE,2022-04-20,4,0,4,76800
18710,CORAL EXPORTS,FROZEN YELLOW TUNA,2022-04-20,0,2,4,54000
18711,AVA CHOLAYIL HEALTH CARE,FOOD STUFFS,2022-04-20,1,0,1,14427
18712,DOHRNII CHAIN P.LTD.,FOOD STUFFS,2022-04-20,0,1,2,20885
18713,UNILEVER INDIA EXPORTS,TEA,2022-04-20,0,1,2,19788
18714,CLASSIC COIR FACTORY,COIR MATS,2022-04-20,0,1,2,12848
18715,J.B.C. INTERNATIONAL,COIR MATS,2022-04-20,0,1,2,19000
18716,STAR FOODS,BANANA CHIPS,2022-04-20,0,1,2,12966
18717,EXTRA WEAVE,JUTE MATTING,2022-04-20,0,1,2,10770
18718,UNIGREEN FOODS(I)P.LTD.,FOOD STUFFS,2022-04-20,2,0,2,39000
18719,LULU FLIGHT KITCHEN,FOOD STUFFS,2022-04-20,1,0,1,7555
18720,K.B.EXPORTS & IMPORT,BANANA,2022-04-20,0,1,2,17675
18721,LUX INDUSTRIES LTD.,COTTON GARMENTS,2022-04-20,0,1,2,13564
18722,LUX INDUSTRIES LTD.,COTTON GARMENTS,2022-04-20,0,1,2,13287
18723,COCHIN MINERALS AND RUTILE LTD.,SYNTHETIC RUTILE,2022-04-20,19,0,19,456000
18724,GEO AQUATIC PRODUCTS(P)LTD.,FROZEN MARINE FOODS,2022-04-20,0,1,2,24000
18725,RICE AND FLAVOURS LLP,RICE,2022-04-20,1,0,1,16654
18726,MOLVIZADAH SONS,CARDAMOM,2022-04-20,1,0,1,9040
18727,NABEES FOODS,FOOD STUFFS,2022-04-20,1,0,1,21000
18728,V.M.POLYTEX LTD.,P.P.WOVEN BAGS,2022-04-20,1,0,1,12407
18729,PROFAND VAYALAT MARINE EXPORTS,FROZEN CUTTLEFISH,2022-04-20,0,1,2,26000
18730,GRAIN N GRACE FOOD INGREDIENTS P. LTD.,FOOD STUFFS,2022-04-20,0,1,2,22450
18731,BLUE BREEZE ENTERPRISE,COTTON GARMENTS,2022-04-20,1,0,1,3200
18732,KAY JAY SHARP TRENDY,PUMPS,2022-04-20,1,0,1,11339
18733,PALM FIBRE(INDIA)P.LTD.,COIR MATS,2022-04-20,0,5,10,72890
18734,NATIONAL FITTINGS LTD.,PIPE FITTINGS,2022-04-20,2,0,2,32581
18735,TOP TEN IMPEX P.LTD.,COTTON GARMENTS,2022-04-20,0,1,2,18412
18736,GILBARCO VEEDER ROOT INDIA PVT LTD,PUMPS,2022-04-20,0,1,2,6984
18737,SINSAN EXPORTS,COCONUTS,2022-04-20,4,0,4,56800
18738,SFO TECHNOLOGIES DIGITAL P.LTD.,CABLE ACCESSORIES,2022-04-20,0,1,2,6380
18739,AL NAWAL EXPORTS LLP,BANANA,2022-04-20,0,1,2,21681
18740,GREEN INDIA TEXTILES,COTTON GARMENTS,2022-04-20,0,1,2,5090
18741,KUNNATHAN WOOD PRODUCTS,PLYWOOD,2022-04-20,0,2,4,54720
18742,DHRONI AYURVEDA,AYURVEDICA TREATMENT EQUP.,2022-04-20,1,0,1,3216
18743,GRAND MARINE FOODS,FROZEN CUTTLEFISH,2022-04-20,0,1,2,24000
18744,KITEX CHILDREN WEAR LTD.,COTTON GARMENTS,2022-04-20,0,7,14,92034
18745,SEVEN OCEAN INC.,COTTON GARMENTS,2022-04-20,1,0,1,5608
18746,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-04-20,1,0,1,9738
18747,AJMI FLOUR MILL(I)P.LTD.,FOOD STUFFS,2022-04-20,1,0,1,18500
18748,HERITAGE ARTS,HANDICRAFTS,2022-04-20,0,0,0,538
18749,TRIBHUVAN APPARELS PVT LTD,COTTON GARMENTS,2022-04-20,1,0,1,4812
18750,TRIWIN EXPORTS,COTTON GARMENTS,2022-04-20,1,0,1,4459
18751,GOLD FINDCH VENTURES,COTTON GARMENTS,2022-04-20,0,0,0,1598
18752,SAMEX INDIA P.LTD.,CARDAMOM,2022-04-20,1,0,1,9540
18753,EVERGREEN EXPORTS,FROZEN MARINE FOODS,2022-04-20,0,2,4,54000
18754,MARICO LTD.,OATS,2022-04-20,1,0,1,6317
18755,TEAM THAI,SOAP,2022-04-20,1,0,1,15500
18756,KAPPUNKAL EXPORTS,COCONUTS,2022-04-20,0,1,2,28500
18757,BALIGA FISHNETS,NYLON FISHING NETS,2022-04-21,1,0,1,9309
18758,K.M.FISHERIES,FROZEN SQUID,2022-04-21,0,1,2,24000
18759,BABU COIR WORKS,COIR MATS,2022-04-21,0,1,2,25934
18760,LAKSHMI MACHINE WORKS LTD.,TEXTILE MACHINERY,2022-04-21,0,20,40,130959
18761,AB MAURI INDIA P.LTD.,RED PEPPER,2022-04-21,0,1,2,20000
18762,TERUMO PENPOL LTD.,BLOOD BAG,2022-04-21,1,1,3,18473
18763,EMIL TRADERS P.LTD.,COFFEE,2022-04-21,15,0,15,288000
18764,BAFNA ENTERPRISES,CELERY SEEDS,2022-04-21,0,1,2,16000
18765,ABAD FISHERIES,FROZEN MARINE FOODS,2022-04-21,0,1,2,20000
18766,VEDYAA NATURALS,COFFEE,2022-04-21,1,0,1,19200
18767,MALA SONS,PLYWOOD,2022-04-21,0,1,2,28000
18768,TALENT INTERNATIONAL,PLYWOOD,2022-04-21,5,0,5,79636
18769,BODYGEAR INTERNATIONAL(P)LTD.,PLUSH TOYS,2022-04-21,1,0,1,1290
18770,AMIRTHA TEXTILES,COTTON GOODS,2022-04-21,0,1,2,17038
18771,GLENROCK RUBBER PRODUCTS P. LTD.,RUBBER MATS,2022-04-21,0,2,4,38759
18772,COIR FLEX,COIR MATS,2022-04-21,0,1,2,24000
18773,SUD-CHEMIE INDIA LTD.,CATALYST,2022-04-21,2,1,4,31344
18774,URUMPADAYIL EXPORTS P.LTD.,FOOD STUFFS,2022-04-21,0,1,2,17971
18775,SREE ANJANEYA EXPORTS,COTTON GARMENTS,2022-04-21,0,3,6,31128
18776,UNITED COIR FACTORIES,COIR MATS,2022-04-21,0,1,2,19120
18777,TRIANGLE WEAVERS P.LTD.,JUTE MATTING,2022-04-21,0,1,2,14652
18778,UNIPOWER TRANSFORMERS,INVERTOR,2022-04-21,0,1,2,24000
18779,R.1.INTERNATIONAL(INDIA)P.LTD.,NATURAL RUBBER,2022-04-21,10,0,10,190000
18780,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-04-21,0,2,4,37532
18781,REMMY SUSTRATES INDIA P.LTD.,COIR FIBER,2022-04-21,0,1,2,26000
18782,FILTROWIN INDUSTRIES,FILTER ELEMENT,2022-04-21,0,1,2,7552
18783,AVT NATURAL PRODUCTS LTD.,TEA,2022-04-21,1,0,1,10425
18784,MANGALA MARINE EXIM INDIA P.LTD.,FROZEN MARINE FOODS,2022-04-21,0,2,4,39000
18785,TRAVANCORE COCOTUFT P.LTD.,COIR MATS,2022-04-21,1,0,1,9730
18786,SEAFOOD INNOVATIONS,FROZEN MARINE FOODS,2022-04-21,0,1,2,21000
18787,BNS EXPORTS,ARECANUT,2022-04-21,1,0,1,21000
18788,LAKSHMI MACHINE WORKS LTD.,TEXTILE MACHINERY,2022-04-21,0,7,14,53890
18789,INDIAN PRODUCTS LTD.,PEPPER,2022-04-21,1,0,1,15000
18790,FIBER WONDERS,COIR MATS,2022-04-21,0,1,2,19012
18791,LEGRO INDIA P.LTD.,COIR FIBER,2022-04-21,0,1,2,26000
18792,ALLANASONS LTD.,COFFEE,2022-04-21,1,0,1,19200
18793,APOLLO TYRES LTD.,TYRES/TUBES,2022-04-21,0,4,8,31237
18794,KERALA BALERS LTD.,COIR MATS,2022-04-21,0,1,2,20080
18795,POABS ORGANIC PRODUCTS P.LTD.,TEA,2022-04-21,0,1,2,21121
18796,MASTER LINENS INC.,COTTON FABRICS,2022-04-21,0,3,6,19008
18797,MAYITHARA HOME DECOR P.LTD.,COIR MATS,2022-04-21,1,0,1,5439
18798,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-04-21,1,1,3,28981
18799,KOB MEDICAL TEXTILES P.LTD.,MEDICAL EQUIPMENTS,2022-04-21,0,1,2,9909
18800,ASPINWALL & CO. LTD.,COIR MATS,2022-04-21,1,0,1,8600
18801,PARAYIL FOOD PRODUCTS P.LTD.,FOOD STUFFS,2022-04-21,0,1,2,15926
18802,KORNICH EXPORTS P.LTD.,FROZEN MARINE FOODS,2022-04-21,0,1,2,26820
18803,AUTOFIT CAR INTERIORS P.LTD.,CAR SEAT COVER,2022-04-21,0,1,2,7651
18804,S.L.N.COFFEE P.LTD.,INSTANT COFFEE,2022-04-21,1,0,1,6519
18805,NAS FISHERIES P.LTD.,FROZEN YELLOW TUNA,2022-04-21,0,3,6,84000
18806,PARAYIL EXPORTS,FOOD STUFFS,2022-04-21,0,0,0,6059
18807,AVT MCCORMICK INGREDIENTS LTD.,PEPPER,2022-04-21,0,1,2,20404
18808,KITEX GARMENTS LTD.,COTTON GARMENTS,2022-04-21,0,1,2,4299
18809,ALUCRAFT MANUFACTURING & MARKETING LLP ,ALUMINIUM PRODUCTS,2022-04-21,0,1,2,21051
18810,INDIAN PRODUCTS LTD.,TEA,2022-04-21,0,3,6,70000
18811,INDIAN PRODUCTS LTD.,PEPPER,2022-04-21,0,1,2,24000
18812,APOLLO TYRES LTD.,TYRES/TUBES,2022-04-21,0,5,10,39728
18813,SIGNATURE FOAM P.LTD.,RUBBERISED COIR MATRESSES,2022-04-21,0,1,2,5246
18814,SIGNATURE FOAM P.LTD.,RUBBERISED COIR MATRESSES,2022-04-21,0,2,4,10446
18815,SYMEGA FOOD INGREDIENTS,FOOD STUFFS,2022-04-21,0,1,2,21600
18816,EXTRA WEAVE,JUTE MATTING,2022-04-21,1,0,1,6981
18817,CLASSIC INDUSTRIES&EXPORTS LTD.,RUBBER COMPOUND,2022-04-21,3,0,3,45624
18818,SIEWERT & DHOLAKIA  OVERSEAS P.LTD.,TEA,2022-04-21,0,1,2,19894
18819,POABS ORGANIC PRODUCTS P.LTD.,TEA,2022-04-21,0,1,2,16320
18820,FIBRE WORLD,COIR MATS,2022-04-21,0,1,2,24571
18821,KERAFIBERTEX INTERNATIONAL P.LTD.,COIR MATS,2022-04-21,1,2,5,47273
18822,MASTER LINENS INC.,COTTON GOODS,2022-04-21,0,1,2,6336
18823,HIBHAI LAB PRIVATE LIC,LAB EQUIPMENTS,2022-04-21,1,0,1,1829
18824,S.H.MARINE EXIM,FROZEN MARINE FOODS,2022-04-21,0,1,2,27000
18825,APOLLO TYRES LTD.,TYRES/TUBES,2022-04-21,0,1,2,17796
18826,KINGS MARINE PRODUCTS,FROZEN MARINE FOODS,2022-04-21,0,1,2,14000
18827,AVT MCCORMICK INGREDIENTS LTD.,PEPPER,2022-04-21,1,0,1,5712
18828,BODYGEAR INTERNATIONAL(P)LTD.,PLUSH TOYS,2022-04-21,0,1,2,4306
18829,WILTON WEAVERS P.LTD.,WOOLEN CARPETS,2022-04-21,1,0,1,6113
18830,PALM FIBRE(INDIA)P.LTD.,COIR MATS,2022-04-21,1,0,1,4543
18831,BAFNA ENTERPRISES,TURMERIC,2022-04-21,0,1,2,25000
18832,NISHANT EXPORT,PEPPER,2022-04-21,0,2,4,49000
18833,RAM COIR MILLS,COIR MATS,2022-04-21,0,1,2,21280
18834,GEMWOOD,ROSEWOOD PRODUCTS,2022-04-21,1,1,3,25748
18835,ECOM GILL COFFEE TRADING P.LTD.,GREEN COFFEE,2022-04-21,3,0,3,57600
18836,REMMY SUSTRATES INDIA P.LTD.,COIR PITH,2022-04-21,0,1,2,26000
18837,K.M.FISHERIES,FROZEN MARINE FOODS,2022-04-21,0,1,2,28687
18838,WALLACE LANGFORD & ASSOCIATES,COIR MATS,2022-04-21,1,0,1,10587
18839,MANJILAS FOOD TECH (P)LTD.,RICE,2022-04-21,1,0,1,23881
18840,EVERGREEN EXPORTS,FROZEN MARINE FOODS,2022-04-21,0,1,2,26000
18841,INDIAN PRODUCTS LTD.,SPICES,2022-04-21,0,3,6,46342
18842,MANARA HEALTHCARE P.LTD.,FROZEN YELLOW TUNA,2022-04-21,0,1,2,28000
18843,MADHU JAYANTI INTERNATIONAL LTD.,TEA,2022-04-21,1,0,1,3972
18844,ROCO WORLD,RUBBER MATS,2022-04-21,1,0,1,13220
18845,NITTA GELATIN INDIA LTD.,GELATIN,2022-04-21,1,0,1,1688
18846,EUROAQUA PLUMTEK PVT LTD,RUBBER MATS,2022-04-21,0,1,2,17614
18847,D.C.INTERIORS,COIR MATS,2022-04-21,0,1,2,6989
18848,NITTA GELATIN INDIA LTD.,GELATIN,2022-04-21,0,2,4,41920
18849,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-04-21,0,2,4,35767
18850,VAYAL TRADERS,FOOD STUFFS,2022-04-21,0,1,2,27273
18851,WESTERN INDIA CASHEW CO.,CASHEW KERNELS,2022-04-21,0,1,2,19160
18852,ECOM GILL COFFEE TRADING P.LTD.,COFFEE,2022-04-21,2,0,2,38400
18853,ARIHANT ENTERPRISES,PLYWOOD,2022-04-21,1,0,1,18815
18854,AQUA MARINE EXPORTS,FROZEN MARINE FOODS,2022-04-21,0,1,2,24000
18855,LUKE EXPORTS,FROZEN OCTOPUS,2022-04-21,0,1,2,20250
18856,SEAFOOD INNOVATIONS,FROZEN SQUID,2022-04-21,0,1,2,23000
18857,ESWARAN BROTHERS INDIA PVT LTD,TEA,2022-04-21,0,1,2,27292
18858,MADHU JAYANTI INTERNATIONAL LTD.,TEA,2022-04-21,0,1,2,9969
18859,LEETHA INDUSTRIES,PAPER CUP,2022-04-21,0,4,8,28244
18860,GECO COIR PRODUCTS P.LTD.,JUTE MATTING,2022-04-21,0,1,2,14637
18861,VIKAS RUBBERS,RUBBER MATS,2022-04-21,0,2,4,39926
18862,CAPITHAN EXPORTING CO.,FROZEN MARINE FOODS,2022-04-21,0,1,2,23000
18863,ACCELERATED FREEZE DRYING CO LTD.,FROZEN MARINE FOODS,2022-04-21,0,1,2,19000
18864,AKAY SPICES P.LTD.,SPICES,2022-04-21,0,2,4,54000
18865,APOLLO TYRES LTD.,TYRES/TUBES,2022-04-21,0,1,2,8548
18866,UNILEVER INDIA EXPORTS,TEA,2022-04-21,1,0,1,5830
18867,R.L. KHANNA & CO. (OVERSEAS),COIR MATS,2022-04-21,0,1,2,24306
18868,PROFAND VAYALAT MARINE EXPORTS,FROZEN CUTTLEFISH,2022-04-21,0,1,2,21000
18869,EMIL TRADERS P.LTD.,COFFEE,2022-04-21,1,0,1,19200
18870,PREMIER COTTON TEXTILES,COTTON YARN,2022-04-21,0,2,4,47726
18871,R.L. KHANNA & CO. (OVERSEAS),COIR MATS,2022-04-21,0,1,2,12239
18872,FINE FAB ENGINEERING&CONSTRUCTIONS,HEATING ELEMENT,2022-04-21,15,0,15,375000
18873,FINE FAB ENGINEERING&CONSTRUCTIONS,HEATING ELEMENT,2022-04-21,9,0,9,180000
18874,AKAY SPICES P.LTD.,TURMERIC,2022-04-21,0,1,2,21000
18875,SREE LAKSHMI CASHEW ENTERPRISES,CASHEW KERNELS,2022-04-21,1,0,1,15876
18876,SEABOY FISHERIES P.LTD.,FROZEN MARINE FOODS,2022-04-21,0,1,2,22991
18877,BRAHMINS FOOD INDIA P.LTD.,FOOD STUFFS,2022-04-21,0,1,2,24875
18878,LEGRO INDIA P.LTD.,COIR PITH,2022-04-21,0,1,2,26000
18879,INDIAN PRODUCTS LTD.,SPICES,2022-04-21,0,1,2,21000
18880,NEXUS FROZEN FRUITS CONTAINERS&FOODS P.LTD.,COCONUT SHELLS\CUPS,2022-04-21,0,1,2,10350
18881,K.S.GANGADHARA IYER AND CO.,COIR MATS,2022-04-21,1,0,1,11420
18882,NISHANT EXPORT,CRUSHED CHILLIES,2022-04-21,0,1,2,20000
18883,ANTON EXPORTS&IMPORTS,COTTON GOODS,2022-04-21,1,0,1,4175
18884,GEO AQUATIC PRODUCTS(P)LTD.,FROZEN MARINE FOODS,2022-04-21,0,1,2,26000
18885,AKAY SPICES P.LTD.,PEPPER,2022-04-21,1,0,1,16000
18886,ROYAL MARINE,FROZEN CUTTLEFISH,2022-04-21,0,1,2,21000
18887,GENERAL COMMODITIES LTD.,TURMERIC,2022-04-21,1,0,1,18000
18888,SSK EXPORT LIMITED,TEA,2022-04-21,0,1,2,22233
18889,SUDHAN SPINNING MILLS LTD.,COTTON YARN,2022-04-21,0,2,4,43380
18890,POOPPALLY COIR MILLS,POLYPROPYLENE MATS,2022-04-21,1,0,1,13680
18891,TRAVANCORE COCOTUFT P.LTD.,COIR MATS,2022-04-21,0,4,8,78120
18892,EASTMAN EXPORTS GLOBAL CLOTHING  ,COTTON GARMENTS,2022-04-21,0,1,2,6955
18893,SSS GLOBAL,COIR FIBER,2022-04-21,0,1,2,5295
18894,BUSTHAN AL WATHANIYA,FROZEN YELLOW TUNA,2022-04-21,0,1,2,28000
18895,PRECOT LTD.,COTTON YARN,2022-04-21,0,1,2,22466
18896,SAIT EXIM CO.,FROZEN MARINE FOODS,2022-04-23,0,1,2,26000
18897,ACCUPLAST TECHNOLIOGIES,PLASTIC PRODUCTS,2022-04-23,6,0,6,116160
18898,INDIAN PRODUCTS LTD.,PEPPER,2022-04-23,1,0,1,15000
18899,KANAM LATEX INDUS. P. LTD.,LATEX GLOVES,2022-04-23,0,1,2,15043
18900,EASTERN CONDIMENTS P.LTD.,CURRY POWDER,2022-04-23,1,0,1,9864
18901,BROTHERS COIR MILLS,COIR GEO FABRICS,2022-04-23,0,3,6,23712
18902,FAIR TRADE INDIA,COIR PITH,2022-04-23,0,2,4,38000
18903,GIRNAR FOOD & BEVERAGES P.LTD.,TEA,2022-04-23,0,5,10,129780
18904,BROTHERS COIR MILLS,COIR MATS,2022-04-23,0,1,2,19000
18905,GAYATHRI EXIM RICE MILLS,RICE,2022-04-23,1,0,1,25340
18906,SOUPARNIKA EXPORT ENTERPRISES,CASHEW KERNELS,2022-04-23,0,1,2,25850
18907,APOLLO TYRES LTD.,TYRES/TUBES,2022-04-23,0,1,2,9703
18908,PRISTINE TROPICAL FRUITS AND AGRO PRODUCTS,FOOD STUFFS,2022-04-23,0,1,2,24000
18909,ELGI EQUIPMENTS LTD.,AIR COMPRESSORS,2022-04-23,1,0,1,2036
18910,V.K.L.SEASONING P.LTD.,SPICES,2022-04-23,0,1,2,26000
18911,MOUNT SAHIYA,GREEN PEPPER,2022-04-24,1,0,1,14000
18912,TUFCKO INTERNATI0NAL,COIR MATS,2022-04-24,0,1,2,19845
18913,TRAVANCORE MATS & MATTING CO.,JUTE MATTING,2022-04-24,0,1,2,16498
18914,TATA COFFEE LTD.,COFFEE,2022-04-24,3,0,3,54000
18915,AB MAURI INDIA P.LTD.,SPICES,2022-04-24,0,1,2,19000
18916,SAINT GOBAIN INDIA P.LTD.,REFRACTORY MATERIALS,2022-04-24,0,1,2,21075
18917,CAPITHAN EXPORTING CO.,FROZEN MARINE FOODS,2022-04-24,0,1,2,23200
18918,TERUMO PENPOL LTD.,BLOOD BAG,2022-04-24,0,1,2,13664
18919,S.L.N.COFFEE P.LTD.,INSTANT COFFEE,2022-04-24,0,4,8,75600
18920,D.C.INTERIORS,COIR MATS,2022-04-24,1,0,1,6989
18921,ELGI EQUIPMENTS LTD.,AIR COMPRESSORS,2022-04-24,0,1,2,7215
18922,MALA SONS,PLYWOOD,2022-04-24,0,2,4,55894
18923,GEO SEAFOODS,FROZEN SHRIMPS,2022-04-24,0,1,2,18000
18924,AVT NATURAL PRODUCTS LTD.,OLEORESIN PEPPER,2022-04-24,1,0,1,4902
18925,HYDRO PROKAV PUMPS,PUMPS,2022-04-24,0,1,2,17280
18926,KAISONS RUBBERS,RUBBER MATS,2022-04-24,0,1,2,23000
18927,SSK EXPORT LIMITED,TEA,2022-04-24,0,1,2,24000
18928,INDCARB ACTIVATED CARBON P.LTD.,ACTIVATED CARBON,2022-04-24,0,1,2,22000
18929,TRAVANCORE MATS & MATTING CO.,COIR MATS,2022-04-24,0,1,2,19000
18930,NOVA ENGINEERING,MACHINERIES,2022-04-24,1,0,1,23850
18931,INDIAN PRODUCTS LTD.,PEPPER,2022-04-24,0,1,2,24000
18932,HGR PACKAGING SOLUTIONS P.LTD.,PACKING MATERIALS,2022-04-24,1,0,1,9888
18933,ARJUNA NATURAL P. LTD.,OLEORESIN TURMERIC,2022-04-24,0,0,0,648
18934,KOB MEDICAL TEXTILES P.LTD.,MEDICAL EQUIPMENTS,2022-04-24,0,1,2,7020
18935,G.T.N.ENTERPRISES LTD.,COTTON YARN,2022-04-24,0,1,2,16740
18936,AB MAURI INDIA P.LTD.,SPICES,2022-04-24,0,1,2,18000
18937,PARAYIL FOOD PRODUCTS P.LTD.,RICE,2022-04-24,1,0,1,25000
18938,KERAFIBERTEX INTERNATIONAL P.LTD.,COIR YARN,2022-04-24,0,2,4,27675
18939,ST.MARYS RUBBERS P.LTD.,LATEX GLOVES,2022-04-24,0,1,2,15568
18940,SIJMAK EXPORTS P.LTD.,SPICES,2022-04-24,0,1,2,17000
18941,BOS NATURAL FLAVORS P.LTD.,OLEORESIN TURMERIC,2022-04-24,0,0,0,1182
18942,R.F. EXPORTS,FROZEN MARINE FOODS,2022-04-24,0,1,2,22000
18943,SFO TECHNOLOGIES DIGITAL P.LTD.,CABLE ACCESSORIES,2022-04-24,3,0,3,9614
18944,AIBEL APPARELS,COTTON GOODS,2022-04-24,0,0,0,547
18945,KITEX GARMENTS LTD.,COTTON GARMENTS,2022-04-24,0,1,2,9010
18946,WILTON WEAVERS P.LTD.,WOOLEN CARPETS,2022-04-24,0,2,4,25351
18947,GRACIOUS COFFEE P.LTD.,COFFEE,2022-04-24,1,0,1,19200
18948,TRADE WEST ENTERPRISES,CHAPPALS,2022-04-24,1,0,1,4220
18949,HALE PHARMACEUTICALS,SURGICAL GLOVES,2022-04-24,0,1,2,15415
18950,SFO TECHNOLOGIES DIGITAL P.LTD.,CABLE ACCESSORIES,2022-04-24,1,0,1,3435
18951,MANGALA MARINE EXIM INDIA P.LTD.,FROZEN MARINE FOODS,2022-04-24,0,1,2,21000
18952,INDIAN PRODUCTS LTD.,TEA,2022-04-24,0,5,10,95140
18953,AVT MCCORMICK INGREDIENTS LTD.,SPICES,2022-04-24,1,0,1,3231
18954,GRAND MARINE FOODS,FROZEN MARINE FOODS,2022-04-24,0,1,2,22000
18955,INDIAN PRODUCTS LTD.,PEPPER,2022-04-24,0,1,2,23000
18956,BOS NATURAL FLAVORS P.LTD.,OLEORESIN PEPPER,2022-04-24,0,0,0,111
18957,PARAYIL FOOD PRODUCTS P.LTD.,FOOD STUFFS,2022-04-24,1,1,3,11017
18958,APOLLO TYRES LTD.,TYRES/TUBES,2022-04-24,0,3,6,26830
18959,EMIL TRADERS P.LTD.,COFFEE,2022-04-24,8,0,8,153600
18960,R.L. KHANNA & CO. (OVERSEAS),COIR MATS,2022-04-24,0,1,2,14390
18961,SSK EXPORT LIMITED,TEA,2022-04-24,0,1,2,22233
18962,CHRIS COTTON,COTTON GARMENTS,2022-04-24,0,1,2,6264
18963,WINTERMATE FIBER P.LTD.,COIR GEO FABRICS,2022-04-24,0,1,2,10280
18964,AVT NATURAL PRODUCTS LTD.,OLEORESINS OF SPICES,2022-04-24,1,0,1,8372
18965,EXTRA WEAVE,JUTE MATTING,2022-04-24,0,1,2,12277
18966,NIVENIA INTERNATIONAL,RUBBER MATS,2022-04-24,1,0,1,8338
18967,EMIL TRADERS P.LTD.,COFFEE,2022-04-24,1,0,1,19200
18968,AVT MCCORMICK INGREDIENTS LTD.,RED PEPPER,2022-04-24,0,4,8,73856
18969,HEALTHIUM MEDITEC,LATEX GLOVES,2022-04-24,0,1,2,12330
18970,AB MAURI INDIA P.LTD.,PEPPER,2022-04-24,0,1,2,19000
18971,AB MAURI INDIA P.LTD.,PEPPER,2022-04-24,0,1,2,25000
18972,MANE KANCOR INGREDIENTS P.LTD.,OLEORESIN PEPPER,2022-04-24,0,0,0,733
18973,ECOM GILL COFFEE TRADING P.LTD.,COFFEE,2022-04-24,2,0,2,38400
18974,KERAFIBERTEX INTERNATIONAL P.LTD.,COIR MATS,2022-04-24,0,1,2,15160
18975,ARACKATHARA RECLAIMATIONS,TYRE RETREADING MATERIALS,2022-04-24,0,1,2,19000
18976,ECOM GILL COFFEE TRADING P.LTD.,COFFEE,2022-04-24,1,0,1,19200
18977,GLOBALWAVE TECHNOLOGIES P.LTD.,ANTENNA WITH ACCOSSORIES,2022-04-24,0,1,2,2107
18978,SHINY KNITWEAR,COTTON GOODS,2022-04-24,1,0,1,3949
18979,MAMPILLY PLYWOOD INDUSTRIES,PLYWOOD,2022-04-24,0,1,2,28000
18980,GOLDEN COIR TUFTS,COIR MATS,2022-04-24,0,2,4,39094
18981,AB MAURI INDIA P.LTD.,RED PEPPER,2022-04-24,0,1,2,25000
18982,FLOORTEX,RUBBER MATS,2022-04-24,0,1,2,18437
18983,ALLEPPEY CO. LTD.,COIR MATS,2022-04-24,0,4,8,81882
18984,PALM FIBRE(INDIA)P.LTD.,COIR MATS,2022-04-24,0,1,2,13217
18985,TERUMO PENPOL LTD.,BLOOD BAG,2022-04-24,0,1,2,6610
18986,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-04-24,1,0,1,22000
18987,CHOICE TRADING CORPN. LTD.,FROZEN SHRIMPS,2022-04-24,0,2,4,40000
18988,CLIMATE NATURAL SPICES,OLEORESIN PEPPER,2022-04-24,0,0,0,550
18989,BHANSALI & CO.,TEA,2022-04-24,0,4,8,103636
18990,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-04-24,1,0,1,6253
18991,MANE KANCOR INGREDIENTS P.LTD.,OLEORESINS OF SPICES,2022-04-24,0,0,0,432
18992,FLOOR GARDENS,COIR MATS,2022-04-24,0,1,2,19419
18993,ESTEEM SERVICES,AYURVEDICA TREATMENT EQUP.,2022-04-24,0,0,0,112
18994,AVT MCCORMICK INGREDIENTS LTD.,TURMERIC,2022-04-24,0,1,2,21000
18995,GREEN INDIA EXPORTS,COCONUT SHELLS\CUPS,2022-04-24,0,1,2,19230
18996,FILTROWIN INDUSTRIES,FILTER ELEMENT,2022-04-24,0,2,4,14453
18997,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-04-24,1,0,1,22000
